id,name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ex1,Ex2,Ex3,Ex4,Total
10,Nick R. Bocker,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$385.00
11,Barb Ackue,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,,,$385.00
12,Buck Kinnear,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$365.00
13,Greta Life,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$385.00
14,Ira Membrit,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
15,Shonda Leer,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
16,Brock Lee,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$45.00,,,$25.00,$265.00
17,Maya Didas,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$100.00,$35.00,$25.00,$340.00
18,Rick O'Shea,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
19,Pete Sariya,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
20,Monty Carlo,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,,$35.00,$25.00,$285.00
21,Sal Monella,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,,$35.00,$25.00,$285.00
22,Sue Vaneer,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,,,,$265.00
23,Cliff Hanger,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,,$35.00,,$285.00
24,Barb Dwyer,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,,$35.00,,$245.00
25,Terry Aki,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$385.00
26,Cory Ander,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,,,$385.00
27,Robin Banks,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$385.00
28,Jimmy Changa,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$365.00
29,Barry Wine,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
30,Wilma Mumduya,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
31,Buster Hyman,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
32,Poppa Cherry,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,,,,$265.00
33,Zack Lee,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
34,Don Stairs,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
35,Saul T. Balls,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
36,Peter Pants,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
37,Hal Appeno,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,,$25.00,$345.00
38,Otto Matic,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,,$35.00,,$265.00
39,Moe Fugga,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$365.00
40,Graham Cracker,,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$325.00
41,Tom Foolery,$20.00,$20.00,$20.00,,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$100.00,$35.00,$25.00,$300.00
42,Al Dente,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$45.00,$100.00,$35.00,$25.00,$365.00
43,Bud Wiser,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,,$35.00,$25.00,$285.00
44,Polly Tech,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
45,Holly Graham,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
46,Frank N. Stein,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$100.00,$35.00,,$340.00
47,Cam L. Toe,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
48,Pat Agonia,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$45.00,,,$25.00,$245.00
49,Tara Zona,$20.00,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
50,Barry Cade,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
,,,,,,,,,,,,,,,,,,
Total Members,,,,,,,,,,,,,,,,,,
,GT,$920.00,"$1,000.00",$900.00,$980.00,$980.00,$940.00,$980.00,$980.00,$800.00,$980.00,$980.00,$980.00,"$2,070.00","$3,800.00","$1,505.00",$825.00,Do not edit
